Squad,#,Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Arsenal,,29,26.9,58.9,38,418,3420,38,73,55,69,4,6,0,0,1.92,1.45,3.37,1.82,3.26
Bournemouth,,27,27,51.5,38,418,3420,38,53,33,46,7,10,0,2,1.39,0.87,2.26,1.21,2.08
Burnley,,27,27.7,40.3,38,418,3420,38,39,24,33,6,6,0,1,1.03,0.63,1.66,0.87,1.5
Chelsea,,24,27.2,55.1,38,418,3420,38,83,53,81,2,4,0,0,2.18,1.39,3.58,2.13,3.53
Crystal Palace,,31,27.7,45.4,38,418,3420,38,48,32,44,4,7,0,0,1.26,0.84,2.11,1.16,2
Everton,,27,27.5,52.1,38,418,3420,38,58,45,55,3,4,0,1,1.53,1.18,2.71,1.45,2.63
Hull City,,28,27.4,45.9,38,418,3420,38,36,24,33,3,3,0,0,0.95,0.63,1.58,0.87,1.5
Leicester City,,25,27.8,41.9,38,418,3420,38,46,32,42,4,6,0,0,1.21,0.84,2.05,1.11,1.95
Liverpool,,23,26.1,62,38,418,3420,38,77,52,70,7,8,0,0,2.03,1.37,3.39,1.84,3.21
Manchester City,,25,28.5,65,38,418,3420,38,75,54,68,7,9,0,0,1.97,1.42,3.39,1.79,3.21
Manchester Utd,,31,26.7,56.5,38,418,3420,38,54,37,51,3,4,0,1,1.42,0.97,2.39,1.34,2.32
Middlesbrough,,27,27.3,47.3,38,418,3420,38,26,22,24,2,2,0,1,0.68,0.58,1.26,0.63,1.21
Southampton,,26,26,54.4,38,418,3420,38,39,27,36,3,6,0,1,1.03,0.71,1.74,0.95,1.66
Stoke City,,26,28.7,46.3,38,418,3420,38,37,24,33,4,6,0,1,0.97,0.63,1.61,0.87,1.5
Sunderland,,31,26.8,39.7,38,418,3420,38,28,11,23,5,5,0,3,0.74,0.29,1.03,0.61,0.89
Swansea City,,27,27.4,47.9,38,418,3420,38,45,31,42,3,3,0,0,1.18,0.82,2,1.11,1.92
Tottenham,,24,25.3,60.5,38,418,3420,38,84,59,77,7,9,0,0,2.21,1.55,3.76,2.03,3.58
Watford,,33,29,46.1,38,418,3420,38,39,27,36,3,3,0,3,1.03,0.71,1.74,0.95,1.66
West Brom,,23,29.4,37.3,38,418,3420,38,43,33,42,1,1,0,0,1.13,0.87,2,1.11,1.97
West Ham,,29,27.1,47.1,38,418,3420,38,46,28,43,3,4,0,4,1.21,0.74,1.95,1.13,1.87
</PRE>,,,,,,,,,,,,,,,,,,,,
